+----------+------------+
| COD ATOM | POZITIE TS |
+----------+------------+
|    48    |     -1     |
|    11    |     -1     |
|    20    |     -1     |
|    14    |     -1     |
|    21    |     -1     |
|    4     |     -1     |
|    5     |     -1     |
|    6     |     -1     |
|    44    |     -1     |
|    12    |     -1     |
|    2     |     -1     |
|    43    |     -1     |
|    46    |     -1     |
|    41    |     -1     |
|    12    |     -1     |
|    0     |     0      |
|    44    |     -1     |
|    7     |     -1     |
|    31    |     -1     |
|    0     |     0      |
|    44    |     -1     |
|    13    |     -1     |
|    0     |     1      |
|    22    |     -1     |
|    17    |     -1     |
|    1     |     2      |
|    44    |     -1     |
|    8     |     -1     |
|    30    |     -1     |
|    0     |     1      |
|    15    |     -1     |
|    0     |     0      |
|    15    |     -1     |
|    0     |     0      |
|    44    |     -1     |
|    8     |     -1     |
|    30    |     -1     |
|    1     |     3      |
|    15    |     -1     |
|    0     |     1      |
|    15    |     -1     |
|    0     |     0      |
|    44    |     -1     |
|    42    |     -1     |
|    0     |     4      |
|    0     |     5      |
|    22    |     -1     |
+----------+------------+
