metrici_lab8,Mon, 9 Jan 2023 16:40:36 EET
Class,CBO,DIT,LCOM,NOC
com.HelloApplication,11,2,2,0
com.controller.AcceptaController,7,1,1,0
com.controller.AdaugaController,8,1,1,0
com.controller.CereriController,8,1,1,0
com.controller.LoginController,5,1,1,0
com.controller.MessageAlert,5,1,2,0
com.controller.MessageController,4,1,1,0
com.controller.StartController,4,1,1,0
com.controller.UtilizatorController,14,1,1,0
com.domain.Entitate,13,1,1,3
com.domain.Message,4,2,4,0
com.domain.Prietenie,6,2,4,0
com.domain.Utilizator,11,2,4,0
com.domain.validators.ValidationException,7,4,0,0
com.domain.validators.ValidatorPrietenie,4,1,1,0
com.domain.validators.ValidatorUtilizator,3,1,1,0
com.repo.MessageDBRepository,4,1,1,0
com.repo.PrietenieDBRepository,4,1,1,0
com.repo.UtilizatorDBRepository,4,1,1,0
com.service.Service,18,1,2,0
com.utils.events.ChangeEventType,3,n/a,2,n/a
com.utils.events.FriendshipEntityChangeEvent,8,1,3,0
com.utils.events.UserEntityChangeEvent,3,1,3,0

Interface,CBO
com.domain.validators.Validator,3
com.utils.events.Event,4
com.utils.observer.Observable,3
com.utils.observer.Observer,7
repo.Repository,5

Package,Ca,Ce,I
com,9,13,0.59
com.controller,2,112,0.98
com.domain,293,0,0.00
com.domain.validators,7,13,0.65
com.repo,59,69,0.54
com.service,35,227,0.87
com.utils.events,33,14,0.30
com.utils.observer,12,2,0.14

